id,k,eigs,ri,voi
15011,34,2,0.865038,4.430022
15011,34,6,0.872251,3.361007
15011,34,10,0.881106,3.295434
15011,34,14,0.883840,3.001311
15011,34,18,0.872778,3.074984
15011,34,22,0.866647,3.105083
15011,34,26,0.864155,3.024092
15011,34,30,0.848712,3.112588
15011,34,34,0.846077,3.049427
201080,19,2,0.784386,2.993030
201080,19,4,0.812467,2.211276
201080,19,6,0.780402,2.407946
201080,19,8,0.741366,2.498312
201080,19,10,0.720508,2.605762
201080,19,12,0.811312,2.098164
201080,19,14,0.722789,2.577805
201080,19,16,0.731614,2.473633
201080,19,18,0.750113,2.275889
201080,19,19,0.745806,2.289410
2018,14,2,0.815372,3.030777
2018,14,4,0.816996,2.857164
2018,14,6,0.810899,2.804191
2018,14,8,0.829340,2.612236
2018,14,10,0.808479,2.681411
2018,14,12,0.811021,2.627918
2018,14,14,0.798970,2.489755
3063,6,2,0.481780,2.420053
3063,6,3,0.461711,2.612706
3063,6,4,0.498418,2.312428
3063,6,5,0.454772,2.435428
3063,6,6,0.441200,2.616970
6046,23,2,0.849515,4.802047
6046,23,5,0.879421,3.132911
6046,23,8,0.896758,2.747393
6046,23,11,0.892259,2.611344
6046,23,14,0.891531,2.553536
6046,23,17,0.881604,2.669979
6046,23,20,0.877769,2.626481
6046,23,23,0.865705,2.764327
